x; y; z
0,141397;-0,114801;-0,137512
0,135315;-0,118494;-0,136969
0,119677;-0,119613;-0,138254
0,110271;-0,117493;-0,137715
0,099506;-0,115032;-0,134505
0,100032;-0,113463;-0,132563
0,105738;-0,10823;-0,129996
0,112171;-0,106512;-0,12818
0,118568;-0,105515;-0,12823
0,122346;-0,105479;-0,1295
0,129798;-0,107378;-0,131508
0,133168;-0,111387;-0,132497
0,142632;-0,114186;-0,134775
0,158156;-0,116397;-0,135408
0,172019;-0,114442;-0,13293
0,170197;-0,114138;-0,128156
0,148454;-0,116648;-0,11377
0,132732;-0,118412;-0,103388
0,085764;-0,125625;-0,071549
0,028989;-0,137556;-0,053647
-0,046439;-0,116871;-0,116555
-0,055206;-0,111066;-0,097943
-0,05129;-0,10869;-0,087742
-0,046731;-0,097759;-0,085862
-0,039965;-0,089631;-0,087625
-0,034414;-0,085106;-0,086
-0,026537;-0,073769;-0,090868
